date,total_victims,incedentsPerYear
1/23/2019,135,7
1/28/2018,150,12
1/6/2017,704,11
2/20/2016,154,6
6/11/2015,89,6
2/20/2014,46,4
3/13/2013,48,5
2/21/2012,151,7
1/8/2011,40,3
8/3/2010,11,1
3/29/2009,77,4
2/7/2008,41,3
2/12/2007,85,4
1/30/2006,28,3
3/12/2005,26,2
12/8/2004,12,1
7/8/2003,15,1
2/5/2001,9,1
12/26/2000,7,1
4/20/1999,89,5
3/6/1998,50,3
9/15/1997,14,2
4/3/1995,6,1
6/20/1994,28,1
7/1/1993,52,1
5/1/1992,19,4
10/16/1991,61,2
6/18/1990,14,3
1/17/1989,56,1
2/16/1988,11,2
4/23/1987,20,1
8/20/1986,21,1
7/18/1984,41,1
6/29/1984,48,2
8/20/1982,11,1
